zone,surplus_event_id,start_time,end_time,duration_h,min_price,mean_price,max_net_surplus_mw,mean_renewable_share,mean_wind100,mean_load_mw,mean_net_export_mw,max_export_utilisation,mean_bal_price_down,mean_abs_imbalance,mean_severity
NO5,31,2023-10-03 07:00:00,2023-10-05 05:00:00,47,-0.38,1.4665957446808509,3383.01,0.975303202074859,4.813916835332001,1817.7093617021276,2891.209361702128,0.0,-0.23148936170212764,77.80083131914894,3.5026749820824135
SE2,293,2024-12-28 10:00:00,2024-12-28 10:00:00,1,5.0,5.0,5813.62,0.9978173402442452,3.487648977812717,2085.0,5671.07,0.0,-4.39,0.0,3.4638161589349146
NO5,33,2023-10-05 19:00:00,2023-10-06 05:00:00,11,1.7,2.67,3170.239999999999,0.989112644607421,5.12990725494338,1825.5318181818182,2863.0272727272727,0.0,1.6936363636363636,223.25201818181816,3.442691237206239
SE2,260,2024-10-31 21:00:00,2024-11-04 03:00:00,79,-0.73,2.190886075949367,7879.75,0.9977519848646205,8.35907550185542,1764.886075949367,5707.071898734177,0.0,1.2750632911392406,0.0,3.4304124465732095
NO5,94,2024-09-11 13:00:00,2024-09-11 13:00:00,1,4.99,4.99,2846.3199999999997,0.9818588634180672,9.358962404377452,1672.14,2865.2400000000002,0.0,4.99,47.909068,3.400828811365456
NO5,35,2023-10-08 21:00:00,2023-10-08 21:00:00,1,4.99,4.99,2805.1800000000003,0.9865179944432275,3.715013712232343,1805.41,2788.43,0.0,4.99,12.376912,3.2978938259674964
NO5,30,2023-10-02 19:00:00,2023-10-03 05:00:00,11,-1.01,0.7563636363636363,3343.62,0.9933274175849359,7.267055411354068,1683.817272727273,2713.6236363636363,0.0,0.7563636363636363,44.33160363636364,3.261284591690389
NO5,32,2023-10-05 11:00:00,2023-10-05 16:00:00,6,2.66,3.391666666666667,3284.84,0.9790644680810422,4.873059133325331,1967.0416666666667,2805.5633333333335,0.0,-0.7933333333333333,194.70309333333333,3.2587040407779297
SE1,306,2024-12-28 10:00:00,2024-12-28 10:00:00,1,4.97,4.97,2683.2200000000003,0.9963530200512574,8.770628931236917,1523.0,2581.43,0.0,-4.39,0.0,3.16554292098586
NO5,34,2023-10-06 09:00:00,2023-10-08 15:00:00,55,-2.7,1.6296363636363635,3220.83,0.9963796007196332,6.0197395687073625,1795.7047272727273,2514.942181818182,0.0,-0.06218181818181818,50.16941941818182,2.8776066643325553
SE1,293,2024-12-05 02:00:00,2024-12-05 04:00:00,3,4.97,4.973333333333334,2528.85,0.9941782475955406,8.14300213563366,1295.0,2426.8033333333333,0.0,-0.57,0.0,2.7309136535669256
SE1,281,2024-11-08 16:00:00,2024-11-08 16:00:00,1,4.87,4.87,2471.8900000000003,0.9982361541972568,10.454497768964622,1406.0,2383.02,0.0,-1.98,0.0,2.7205931538170063
NO5,113,2024-11-02 21:00:00,2024-11-02 22:00:00,2,2.71,3.54,2610.66,0.9981923672457786,12.272443457715134,2111.915,2388.085,0.0,3.54,155.18035350000002,2.6678583822811746
SE1,24,2023-05-19 12:00:00,2023-05-19 13:00:00,2,4.64,4.699999999999999,2469.48,0.9965962234218007,6.9250268861591895,1105.0,2395.895,0.0,-4.75,0.0,2.654862951835907
SE1,271,2024-10-30 08:00:00,2024-10-30 15:00:00,8,1.6,2.6075,2813.09,0.9943932452612781,10.007496698498985,1241.125,2310.13625,0.0,-1.5325,0.0,2.576552427969553
NO5,86,2024-08-31 21:00:00,2024-08-31 21:00:00,1,4.91,4.91,2401.3,0.9982529998314084,1.8982771396060005,1691.43,2332.44,0.0,4.91,112.003062,2.547839674074609
SE1,288,2024-11-23 23:00:00,2024-11-24 08:00:00,10,2.99,3.689,2659.95,0.9958775423015387,10.427187923138197,1429.7,2339.6099999999997,0.0,1.92,0.0,2.5252167550602573
NO5,115,2024-11-03 12:00:00,2024-11-03 12:00:00,1,4.76,4.76,2292.4700000000007,0.9902117785089638,3.2623778184243912,1935.06,2289.5499999999997,0.0,0.5,100.633145,2.4183759271927365
NO5,29,2023-09-07 20:00:00,2023-10-02 13:00:00,594,-5.09,0.47728956228956226,3236.15,0.9848638344695542,6.232435273480898,1456.8140404040405,2211.0651851851853,0.0,-0.8360942760942761,74.56548968350168,2.410911962679064
NO5,112,2024-10-30 23:00:00,2024-11-02 07:00:00,57,-0.08,0.73,3058.7300000000005,0.9918843951541302,7.495410982172304,2123.915438596491,2105.290175438596,0.0,0.4170175438596491,167.5203844912281,2.379388619469449
SE1,287,2024-11-20 22:00:00,2024-11-20 22:00:00,1,3.87,3.87,2217.13,0.9950106521528355,8.594591046466448,1599.0,2221.67,0.0,3.87,0.0,2.298379382237826
NO5,116,2024-11-03 20:00:00,2024-11-03 22:00:00,3,3.11,3.59,2242.53,0.9839505357067565,4.953558156376196,1926.4466666666667,2182.02,0.0,3.59,104.33955933333334,2.269533339449893
SE1,280,2024-11-08 01:00:00,2024-11-08 03:00:00,3,3.91,3.94,2405.2799999999997,0.997608409192566,8.721686096813757,1215.6666666666667,2201.383333333333,0.0,-2.2466666666666666,0.0,2.2474135507863946
NO5,85,2024-08-28 19:00:00,2024-08-31 13:00:00,67,-0.07,1.7698507462686568,2733.0099999999993,0.9987619082337947,5.531463514637655,1712.0641791044777,2072.138656716418,0.0,0.41388059701492536,70.77129564179104,2.1714076992613256
